uuid,longitude,latitude,start_date,end_date,type,subtype,comments,nthumbsup,reliability,reportrating,confidence,duration,xcenter,ycenter,start_time,end_time,event
4ea396f1-6a10-3b26-a616-2b0f26efe4dc,-43.196519999999936,-22.903567000000077,2019-02-22 18:56:00,2019-02-22 23:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,B.C. Leão da Pedra,0.30363036303630364,6.303630363036302,0,0.0,0 days 05:02:00,684975.8550023396,7466022.032190219,1550861760000.0,1550879880000.0,51
4ea5c46a-e3ff-3e79-962d-873d26bcf62b,-43.31217399999999,-22.841685999999992,2019-02-24 21:30:00,2019-02-24 22:29:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Carnavalesco Fala Bobagem,0.0,6.0,0,0.0,0 days 00:59:00,673189.6674975015,7473014.947682433,1551043800000.0,1551047340000.0,27
4ea8a16a-04bf-3c1f-b054-7e21c99ec17e,-43.33064800000007,-23.011038000000013,2019-02-24 20:29:00,2019-02-24 21:29:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Banda da Barra,0.0,6.0,0,0.0,0 days 01:00:00,671080.7522360098,7454283.891596007,1551040140000.0,1551043740000.0,37
4ebafb67-8d35-3785-a024-c5dda5e6d6ec,-43.263418,-22.92209400000001,2019-02-24 19:28:00,2019-02-24 20:28:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,VAI TOMAR NO GRAJAÚ.(199827),0.0,6.0,0,0.0,0 days 01:00:00,678088.6702158147,7464052.999679031,1551036480000.0,1551040080000.0,44
4eecee3f-866e-397c-985b-6702f6a5fd91,-43.30289900000015,-22.8373680000002,2019-02-24 16:55:00,2019-02-24 22:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,G.R.B.C. Deixa Que Eu Te Atravesso,0.0,6.0,0,0.0,0 days 06:03:00,674147.0794655798,7473482.168439813,1551027300000.0,1551049080000.0,40
4f2e8c07-b0e4-3484-b90f-8dfe65e53d50,-43.197302000000064,-22.90379500000011,2019-02-22 18:55:00,2019-02-22 23:57:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,B.C. Leão da Pedra,0.0,6.0,0,0.0,0 days 05:02:00,684895.3204912114,7465997.767077994,1550861700000.0,1550879820000.0,51
4f7e099f-f0f1-3b03-a653-6405f7e9a3e8,-43.21935700000046,-22.88936699999831,2019-02-19 23:57:00,2019-02-24 23:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Obras da TransBrasil,0.0,6.0,0,0.0,4 days 23:59:00,682652.0403296377,7467623.0084008025,1550620620000.0,1551052560000.0,5
4f8bc646-fb57-35f0-ab02-e0ef357457ac,-43.45848500000007,-22.858776000000013,2019-02-24 20:29:00,2019-02-24 21:29:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Obras de Ampliação da Rede da CEDAE,0.0,6.0,0,0.0,0 days 01:00:00,658154.0917638968,7471286.95480993,1551040140000.0,1551043740000.0,24
4fe3da5b-64ac-3cac-a1e6-7effb7c16a6b,-43.23037999999998,-22.923319,2019-02-23 22:55:00,2019-02-24 00:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Banda do Tijuca,0.0,6.0,0,0.0,0 days 02:03:00,681475.8750467012,7463876.950765393,1550962500000.0,1550969880000.0,29
50bc1846-9919-32e2-8d63-d030b649a225,-43.22169899999998,-22.986807,2019-02-23 10:55:00,2019-02-23 11:12:00,ROAD_CLOSED,ROAD_CLOSED_EVENT, Imaginô? AgoraAmassa!.(201659),0.0,6.0,0,0.0,0 days 00:17:00,682281.1885331749,7456835.773509848,1550919300000.0,1550920320000.0,52
