uuid,longitude,latitude,type,subtype,comments,start_date,end_date,alerts,duration,type_subtype,xcenter,ycenter,start_time,end_time,event
926cbe88-0deb-345c-be0e-70fd72a6935e,-43.184674,-22.972124,road_closed,road_closed_event,reveillon,2019-01-01 08:34:00,2019-01-01 09:33:00,60,-1 days +23:01:00.000000000,road_closed_road_closed_event,686097.3607147221,7458415.239350724,1546331640000.0,1546335180000.0,8
9275f91d-79fa-344f-b576-32ccc7486268,-43.209323,-22.98614,road_closed,road_closed_event,simpatia e quase amor,2019-02-24 16:55:00,2019-02-24 22:57:00,361,-1 days +17:58:00.000000000,road_closed_road_closed_event,683550.9555102172,7456894.197312039,1551027300000.0,1551049020000.0,40
928095d0-4c92-332b-a979-b3afd85e857a,-43.188761,-22.978298,road_closed,road_closed_event,reveillon,2018-12-31 08:55:00,2018-12-31 17:37:00,523,-1 days +15:18:00.000000000,road_closed_road_closed_event,685669.8466849069,7457736.720335346,1546246500000.0,1546277820000.0,8
92a1a8c6-fa97-3989-bb62-3d9348a3267e,-43.311356,-23.007086,road_closed,road_closed_event,alagamento via,2019-02-07 22:52:00,2019-02-08 05:56:00,425,-1 days +16:56:00.000000000,road_closed_road_closed_event,673063.3015302531,7454698.850928914,1549579920000.0,1549605360000.0,156
92cc9e72-3498-3da5-ae47-0a35a4e5d7d1,-43.235518,-22.995879,road_closed,road_closed_event,deslizamento encosta,2019-02-07 16:47:00,2019-02-07 21:56:00,310,-1 days +18:51:00.000000000,road_closed_road_closed_event,680852.2970485856,7455848.284909332,1549558020000.0,1549576560000.0,54
92e28aa1-d100-3c3c-8fa2-b5aff56df2b4,-43.228175,-22.915622,road_closed,road_closed_event,taca guanabara,2019-02-17 16:55:00,2019-02-17 20:26:00,211,-1 days +20:29:00.000000000,road_closed_road_closed_event,681712.3179856308,7464726.56020163,1550422500000.0,1550435160000.0,112
92e73966-04de-3eaf-af49-83bffa75d62a,-43.180355,-22.903874,road_closed,road_closed_event,corrida rio antigo   lapa,2019-03-24 07:55:00,2019-03-24 15:57:00,483,-1 days +15:58:00.000000000,road_closed_road_closed_event,686633.8047386708,7465967.622564368,1553414100000.0,1553443020000.0,7
92ef758c-a49b-3d50-a8e1-3b49e77a7fcf,-43.234649,-22.994814,road_closed,road_closed_event,obras pista,2019-02-14 12:04:00,2019-02-14 13:04:00,61,-1 days +23:00:00.000000000,road_closed_road_closed_event,680942.80574492,7455965.146761715,1550145840000.0,1550149440000.0,65
92f30a8a-dbbd-3180-a2df-8dd44cc53d8e,-43.207135,-22.986420000000006,road_closed,road_closed_event,reveillon,2018-12-31 08:55:00,2019-01-01 20:57:00,2161,-2 days +11:58:00.000000000,road_closed_road_closed_event,683774.9057178184,7456860.450387893,1546246500000.0,1546376220000.0,8
931df046-589f-3998-be32-6fc1196db8af,-43.251669,-22.840443,road_closed,road_closed_event,carnaval   piscinao ramos,2019-03-02 20:55:00,2019-03-03 04:56:00,482,-1 days +15:59:00.000000000,road_closed_road_closed_event,679401.1146338555,7473080.284236371,1551560100000.0,1551588960000.0,4
93235d3e-9837-335e-aa50-7cd0afd91447,-43.172451,-22.908667,road_closed,road_closed_event,cordao bola preta,2019-03-02 09:57:00,2019-03-02 16:56:00,416,-1 days +17:01:00.000000000,road_closed_road_closed_event,687438.0876523727,7465426.8079564795,1551520620000.0,1551545760000.0,23
93277410-f066-32c2-88fe-420637935d81,-43.17822,-22.95031,weatherhazard,no_subtype,atencao mao inglesa mantenhase a esquerda,2018-12-14 15:20:00,2018-12-14 22:42:00,442,-1 days +16:38:00.000000000,weatherhazard_no_subtype,686789.1192735145,7460822.685579913,1544800800000.0,1544827320000.0,78
932dabf8-713b-36b9-b07b-117c17aebca7,-43.225785,-22.973027,road_closed,road_closed_event,bloco pede passagem,2019-03-04 11:56:00,2019-03-04 13:43:00,98,-1 days +22:13:00.000000000,road_closed_road_closed_event,681880.7211981007,7458366.79710133,1551700560000.0,1551706980000.0,28
9330a99f-8f54-30c6-9c69-64ef988a7ccf,-43.188761,-22.978298,road_closed,road_closed_event,reveillon,2019-01-01 00:31:00,2019-01-01 01:30:00,60,-1 days +23:01:00.000000000,road_closed_road_closed_event,685669.8466849069,7457736.720335346,1546302660000.0,1546306200000.0,8
933cfb6a-1311-3bb3-b5ef-ad3022477af4,-43.201428,-22.910293,road_closed,road_closed_event,carnaval rio,2019-03-01 23:01:00,2019-03-02 11:57:00,777,-1 days +11:04:00.000000000,road_closed_road_closed_event,684463.2409565877,7465283.378891874,1551481260000.0,1551527820000.0,22
933f6b51-89f8-31ba-886f-40a0becb4f68,-43.223394,-22.971229,road_closed,road_closed_event,grbc fofoqueiros plantao,2019-03-10 15:43:00,2019-03-10 18:59:00,197,-1 days +20:44:00.000000000,road_closed_road_closed_event,682128.2958814445,7458562.93549463,1552232580000.0,1552244340000.0,93
934aad03-04f7-3ebc-a363-269c4698e670,-43.196555,-22.908609,road_closed,road_closed_event,carnaval rio,2019-03-02 12:18:00,2019-03-02 12:21:00,4,-1 days +23:57:00.000000000,road_closed_road_closed_event,684965.4218042257,7465463.740762934,1551529080000.0,1551529260000.0,22
935443bf-b785-3a58-9668-03acc267ec00,-43.292951,-22.924138,road_closed,road_closed_event,operacao policial,2019-03-18 12:26:00,2019-03-18 13:47:00,82,-1 days +22:39:00.000000000,road_closed_road_closed_event,675056.7624750396,7463862.127875049,1552911960000.0,1552916820000.0,110
935d79f7-ea47-3b32-893e-32eb2ba8a543,-43.189242,-22.984616,road_closed,road_closed_event,reveillon,2018-12-31 19:28:00,2018-12-31 20:28:00,61,-1 days +23:00:00.000000000,road_closed_road_closed_event,685611.8920396457,7457037.685432164,1546284480000.0,1546288080000.0,8
9372ad9f-d4ff-3a7c-9f22-381320d7ac71,-43.270267,-22.867112,road_closed,road_closed_event,obras emergenciais prefeitura rio,2019-03-19 12:37:00,2019-03-24 20:47:00,7679,-6 days +15:50:00.000000000,road_closed_road_closed_event,677457.6755735738,7470149.637505308,1552999020000.0,1553460420000.0,33
937a79ef-ce27-3e8a-8765-964a4d874cf0,-43.281467,-22.902522,road_closed,road_closed_event,banda constanca barbosa galo meier,2019-03-04 20:55:00,2019-03-04 20:58:00,4,-1 days +23:57:00.000000000,road_closed_road_closed_event,676262.6468300812,7466242.02217195,1551732900000.0,1551733080000.0,35
93826128-8560-3bc2-9d13-aeb1d805b11d,-43.310713,-22.842226,road_closed,road_closed_event,bloco carnavalesco fala bobagem,2019-02-24 21:30:00,2019-02-24 22:29:00,58,-1 days +23:01:00.000000000,road_closed_road_closed_event,673338.928279395,7472953.436840789,1551043800000.0,1551047340000.0,11
9386e962-ab63-342d-804b-16654ee8cf2a,-43.182657,-22.905807,road_closed,road_closed_event,corrida rio antigo   lapa,2019-03-24 16:18:00,2019-03-24 16:19:00,2,-1 days +23:59:00.000000000,road_closed_road_closed_event,686394.9986653735,7465756.485162868,1553444280000.0,1553444340000.0,7
